transport_mode,origin_region,destination_region,route_distance_km,planned_duration_hours,elapsed_transit_hours,transit_progress_pct,priority_level,carrier_reliability_score,origin_port_congestion_index,dest_port_congestion_index,weather_severity_index,customs_inspection_risk,seasonal_disruption_factor,disrupted
Road,Europe,Europe,1176.2,32.6,9.7,0.2975,Standard,0.7766,57.9,100.0,10.7,0.1318,0.7584,1
Ocean,South_Asia,Latin_America,9671.7,386.4,27.5,0.0712,Standard,0.8956,48.7,25.4,39.5,0.1879,0.3687,1
Rail,Europe,Europe,3925.6,107.1,13.1,0.1223,Standard,0.8029,54.0,84.8,35.7,0.02,0.4385,1
Road,North_America,North_America,800.5,18.4,1.6,0.087,Standard,0.7762,46.1,43.9,15.0,0.0864,0.6304,1
Road,Latin_America,Latin_America,1541.1,37.4,22.5,0.6016,Standard,0.9047,28.0,18.1,26.7,0.0203,0.8978,1
Air,Latin_America,East_Asia,9124.6,34.2,30.1,0.8801,High,0.9346,63.8,20.4,47.5,0.2503,0.2222,1
Rail,Europe,North_America,3701.6,112.9,103.3,0.915,Standard,0.7588,26.0,39.1,48.6,0.5015,0.8092,1
Air,North_America,Europe,2908.0,24.4,1.4,0.0574,Urgent,0.7723,36.2,9.7,26.1,0.3225,0.3486,1
Ocean,Europe,Europe,11133.9,411.7,48.6,0.118,High,0.99,58.8,58.3,22.3,0.2206,0.3542,1
Road,Europe,Europe,2089.9,39.1,20.8,0.532,Standard,0.8447,20.7,42.2,14.6,0.0906,0.892,1
Ocean,East_Asia,Europe,5291.9,204.8,120.0,0.5859,Standard,0.9484,14.7,41.1,25.9,0.3816,0.585,1
Rail,South_Asia,South_Asia,3666.6,103.3,84.4,0.817,High,0.8489,16.5,60.6,23.2,0.02,0.2153,1
Road,Latin_America,Europe,1440.5,35.7,14.0,0.3922,High,0.8322,48.3,15.3,18.9,0.5057,0.0746,1
Air,Middle_East,Oceania,9175.5,46.7,12.2,0.2612,Standard,0.6713,21.3,73.5,22.9,0.5763,0.3587,1
Ocean,South_Asia,Europe,7260.3,321.5,128.5,0.3997,Standard,0.8804,32.8,39.0,33.2,0.5357,0.0944,1
Ocean,Southeast_Asia,North_America,17939.5,635.4,547.5,0.8617,High,0.7789,19.2,21.6,27.3,0.4411,0.8317,1
Air,Europe,Oceania,10970.4,33.5,31.9,0.9522,Standard,0.8077,51.0,16.6,35.4,0.3709,0.7938,1
Rail,East_Asia,East_Asia,1369.5,44.0,10.9,0.2477,Standard,0.8716,38.2,44.4,27.9,0.1153,0.2852,1
Air,Europe,Middle_East,7498.4,34.8,15.3,0.4397,Standard,0.8343,29.5,49.8,17.6,0.4987,0.1001,1
Ocean,Southeast_Asia,Middle_East,11842.5,418.7,165.9,0.3962,High,0.99,16.1,52.4,25.1,0.3728,0.3085,1
Rail,Europe,Europe,2517.7,79.1,75.6,0.9558,High,0.849,15.1,47.7,30.5,0.186,0.415,1
Ocean,Southeast_Asia,Latin_America,13257.2,470.4,319.3,0.6788,Standard,0.8365,43.0,18.7,52.8,0.3759,0.688,1
Air,Latin_America,East_Asia,5550.5,33.1,10.3,0.3112,High,0.6018,48.7,22.7,18.1,0.541,0.7884,1
Road,Latin_America,Latin_America,1270.9,29.4,8.9,0.3027,Standard,0.8559,28.5,15.1,32.1,0.1757,0.8438,1
Road,East_Asia,East_Asia,929.3,22.2,8.5,0.3829,High,0.7742,81.5,37.6,17.2,0.131,0.475,1
Road,East_Asia,East_Asia,1514.8,27.5,4.5,0.1636,Urgent,0.8747,38.3,38.3,37.1,0.1962,0.4931,1
Road,Europe,North_America,782.0,15.3,7.7,0.5033,Standard,0.99,13.6,67.9,14.5,0.3914,0.8351,1
Road,East_Asia,East_Asia,1930.7,40.9,29.1,0.7115,Standard,0.857,21.4,75.6,8.2,0.0895,0.4905,1
Ocean,Europe,Middle_East,11691.5,417.7,79.8,0.191,High,0.6239,14.7,24.1,22.0,0.5352,0.7339,1
Ocean,Southeast_Asia,Middle_East,8903.8,371.1,211.3,0.5694,Standard,0.72,58.3,41.3,42.3,0.6733,0.5615,1
Road,Europe,Europe,975.9,28.5,10.6,0.3719,Standard,0.9875,13.6,31.6,37.1,0.0994,0.9696,1
Road,East_Asia,Latin_America,543.8,21.2,10.1,0.4764,High,0.8482,16.5,67.0,28.5,0.4437,0.4527,1
Road,North_America,North_America,682.2,25.5,17.2,0.6745,Standard,0.8466,18.2,35.5,25.8,0.1042,0.2922,0
Ocean,Southeast_Asia,Middle_East,11620.3,413.5,20.8,0.0503,Standard,0.8784,27.5,42.1,8.7,0.612,0.3737,1
Road,Latin_America,Latin_America,1015.5,29.1,14.3,0.4914,Standard,0.723,29.0,41.2,37.1,0.1535,0.3873,0
Rail,East_Asia,East_Asia,4013.7,116.9,70.0,0.5988,Standard,0.8273,13.5,16.9,19.6,0.0584,0.7792,0
Air,East_Asia,Middle_East,5088.0,27.2,8.6,0.3162,Standard,0.8304,100.0,24.0,48.5,0.3959,0.2258,1
Rail,North_America,North_America,4005.2,121.7,47.8,0.3928,Standard,0.7379,17.5,29.6,23.5,0.1107,0.2254,1
Air,Europe,North_America,10429.5,37.1,25.5,0.6873,Standard,0.9079,13.0,50.8,18.4,0.6693,0.7351,1
Ocean,Europe,Latin_America,9223.9,332.8,91.0,0.2734,High,0.6937,100.0,60.0,31.1,0.2882,0.3604,1
Air,South_Asia,Latin_America,5296.0,39.0,14.4,0.3692,High,0.9057,19.1,74.6,3.8,0.6824,0.1285,1
Air,East_Asia,Europe,10184.9,34.3,4.1,0.1195,Standard,0.99,23.3,24.9,16.8,0.4668,0.363,1
Ocean,Europe,Latin_America,12928.2,459.3,93.8,0.2042,Standard,0.8329,51.9,53.7,39.6,0.4714,0.8553,1
Air,Latin_America,Europe,11233.1,36.2,19.9,0.5497,Standard,0.9021,52.8,69.0,14.1,0.0813,0.7887,1
Ocean,Europe,Latin_America,7158.2,296.3,236.0,0.7965,Standard,0.8102,38.4,10.4,13.6,0.4022,0.1071,1
Air,Latin_America,Europe,6898.3,27.9,8.7,0.3118,High,0.8161,74.7,100.0,25.9,0.436,0.5983,1
Ocean,South_Asia,North_America,10224.4,355.5,268.2,0.7544,Urgent,0.8064,61.4,25.5,21.2,0.6209,0.6118,1
Ocean,South_Asia,Europe,6861.9,304.9,213.0,0.6986,Standard,0.99,50.9,36.7,10.4,0.05,0.5944,1
Road,Latin_America,Latin_America,759.8,24.3,8.4,0.3457,Standard,0.8002,18.5,36.3,29.6,0.1275,0.3587,1
Ocean,Europe,Oceania,9636.4,344.9,28.9,0.0838,Standard,0.99,36.6,44.0,14.7,0.6488,0.7106,1
Rail,North_America,North_America,2352.3,71.1,64.0,0.9001,Standard,0.93,37.1,28.0,11.8,0.1293,0.2338,0
Rail,North_America,East_Asia,500.0,24.0,11.4,0.475,Standard,0.6811,25.4,55.9,26.9,0.5207,0.1137,1
Rail,East_Asia,East_Asia,3612.1,117.5,96.8,0.8238,High,0.8232,93.1,56.7,53.3,0.2,0.9018,1
Air,Europe,Latin_America,1999.9,29.7,19.2,0.6465,High,0.5619,42.3,13.6,37.0,0.2721,0.209,1
Air,Southeast_Asia,Latin_America,4348.4,25.1,13.2,0.5259,High,0.7579,54.0,30.3,27.8,0.3056,0.0713,1
Ocean,Europe,North_America,19070.2,659.3,456.0,0.6916,Standard,0.9686,33.0,22.4,23.6,0.3282,0.6178,1
Road,Latin_America,Latin_America,1436.5,36.2,20.3,0.5608,Standard,0.99,24.0,13.5,15.4,0.0831,0.6298,0
Ocean,East_Asia,Latin_America,11711.0,419.8,386.7,0.9212,High,0.854,21.5,35.8,59.2,0.3682,0.7468,1
Ocean,East_Asia,Middle_East,8968.8,339.3,65.4,0.1927,High,0.8704,32.0,31.3,11.2,0.3805,0.2393,1
Ocean,East_Asia,Europe,8069.0,342.0,318.8,0.9322,Standard,0.7363,62.3,25.7,41.9,0.2772,0.7492,1
Air,East_Asia,North_America,4109.4,20.4,3.8,0.1863,Standard,0.7356,35.8,14.2,18.3,0.5845,0.0851,1
Air,South_Asia,Middle_East,8119.7,27.3,17.8,0.652,Standard,0.99,21.6,16.1,39.9,0.1633,0.6703,1
Rail,East_Asia,East_Asia,3362.7,88.3,7.3,0.0827,Standard,0.8317,28.4,11.0,17.5,0.2076,0.9766,1
Road,Latin_America,Latin_America,1841.7,42.2,7.2,0.1706,Standard,0.7717,40.5,43.5,10.2,0.1106,0.2614,1
Ocean,East_Asia,Latin_America,10739.8,415.8,109.0,0.2621,Standard,0.9291,9.4,34.2,44.3,0.8044,0.6879,1
Ocean,Europe,North_America,12881.0,447.9,131.6,0.2938,Urgent,0.9039,67.4,32.1,16.6,0.3354,0.7581,1
Ocean,Europe,Europe,11911.3,429.1,346.2,0.8068,Standard,0.6876,58.6,46.7,8.0,0.2026,0.5672,1
Road,East_Asia,East_Asia,1379.8,26.9,13.3,0.4944,Standard,0.9867,20.9,26.7,55.3,0.2117,0.2815,1
Air,Latin_America,Europe,3624.8,39.2,34.9,0.8903,Standard,0.8157,30.7,72.3,15.5,0.259,0.7425,1
Road,East_Asia,East_Asia,954.0,21.9,19.1,0.8721,Standard,0.7671,67.5,60.5,13.9,0.235,0.7394,1
Ocean,Europe,Europe,8655.4,330.4,79.7,0.2412,Standard,0.9391,18.0,55.5,26.9,0.1199,0.2276,1
Ocean,Southeast_Asia,Europe,7126.5,306.6,256.0,0.835,High,0.8701,41.0,72.8,15.8,0.3136,0.2831,1
Ocean,East_Asia,Europe,13032.8,500.9,261.3,0.5217,High,0.871,19.4,24.7,13.8,0.5635,0.4023,1
Road,Europe,Europe,1153.6,23.7,11.9,0.5021,Standard,0.5177,33.5,17.9,9.5,0.0916,0.6077,1
Ocean,Europe,Oceania,13905.3,528.0,208.7,0.3953,Standard,0.6734,36.8,15.9,10.0,0.05,0.5258,1
Air,East_Asia,Oceania,6434.2,25.9,13.7,0.529,Standard,0.815,30.1,82.9,18.5,0.2536,0.3212,1
Ocean,Southeast_Asia,Oceania,15774.8,557.5,62.3,0.1117,Urgent,0.7985,33.4,30.7,31.7,0.3675,0.4078,1
Rail,Europe,Europe,3418.7,104.6,92.4,0.8834,High,0.8169,24.8,28.3,30.1,0.2105,0.635,1
Air,East_Asia,North_America,2678.7,17.2,14.9,0.8663,High,0.7846,22.9,26.2,21.6,0.4681,0.469,1
Air,South_Asia,Europe,5443.4,28.3,15.2,0.5371,High,0.9101,36.2,66.3,9.5,0.535,0.5411,1
Road,East_Asia,East_Asia,1300.6,31.3,20.8,0.6645,Urgent,0.8737,52.7,17.5,7.2,0.1068,0.4192,1
Air,Latin_America,Oceania,7500.7,44.0,33.5,0.7614,Standard,0.8585,13.2,20.3,61.0,0.2106,0.2426,1
Ocean,East_Asia,Middle_East,12739.1,444.9,105.8,0.2378,Standard,0.966,30.2,28.3,23.6,0.7827,0.4032,1
Air,Latin_America,North_America,9794.6,34.1,32.9,0.9648,Standard,0.5951,20.8,30.0,10.7,0.2455,0.774,1
Rail,Europe,Europe,2895.9,101.6,75.4,0.7421,Standard,0.7598,49.4,34.7,16.5,0.0951,0.7873,1
Ocean,East_Asia,Middle_East,14856.9,559.5,437.1,0.7812,Standard,0.8188,37.4,32.4,13.1,0.2644,0.1273,1
Ocean,Southeast_Asia,Middle_East,11234.5,405.0,121.4,0.2998,Standard,0.9128,21.1,14.7,21.0,0.4257,0.6114,1
Rail,Europe,Europe,3399.8,87.2,29.1,0.3337,Standard,0.9745,18.5,37.8,27.7,0.0849,0.4839,1
Ocean,East_Asia,Latin_America,8337.1,314.9,123.0,0.3906,Standard,0.7954,32.3,100.0,18.9,0.0693,0.903,1
Road,Latin_America,Latin_America,1908.3,33.1,16.1,0.4864,Standard,0.8315,42.7,28.0,14.9,0.1493,0.1304,0
Ocean,South_Asia,Europe,8442.4,308.2,172.2,0.5587,High,0.99,11.5,98.3,33.6,0.6193,0.9303,1
Road,North_America,Latin_America,777.4,21.1,1.8,0.0853,Standard,0.5712,81.7,34.1,75.8,0.1322,0.7452,1
Ocean,Europe,Middle_East,6544.2,296.9,46.5,0.1566,Standard,0.975,11.0,33.6,40.8,0.2685,0.6474,1
Road,North_America,Europe,1092.9,27.9,12.9,0.4624,High,0.7189,32.5,8.6,73.7,0.7634,0.4329,1
Ocean,Europe,Oceania,9326.2,345.9,138.2,0.3995,Standard,0.8626,22.2,28.9,20.9,0.05,0.2174,1
Ocean,Europe,North_America,6569.4,263.2,230.9,0.8773,Standard,0.8873,26.4,14.5,56.1,0.438,0.5709,1
Ocean,East_Asia,Europe,11248.0,410.0,153.2,0.3737,High,0.8577,39.2,30.4,33.3,0.4245,0.9512,1
Air,South_Asia,Europe,5959.0,20.7,7.0,0.3382,Standard,0.913,22.5,53.0,35.6,0.4488,0.3858,1
Ocean,East_Asia,Middle_East,10253.5,398.1,299.7,0.7528,Standard,0.7048,10.1,47.9,41.8,0.2717,0.7705,1
Road,Latin_America,North_America,2041.9,35.0,14.7,0.42,Standard,0.5663,16.2,30.7,1.2,0.1476,0.3271,0
Air,North_America,Latin_America,7419.2,43.1,22.7,0.5267,Standard,0.583,41.1,20.8,21.1,0.6078,0.4789,1
Road,Latin_America,Latin_America,392.6,20.4,15.2,0.7451,Standard,0.8318,44.7,13.0,26.0,0.1603,0.7644,1
Road,North_America,North_America,2293.3,42.3,25.0,0.591,High,0.7946,21.6,26.2,41.0,0.0653,0.7537,1
Air,East_Asia,North_America,7710.2,37.7,33.7,0.8939,Standard,0.891,42.1,34.7,8.9,0.05,0.7035,1
Ocean,Southeast_Asia,Latin_America,7722.8,302.4,290.8,0.9616,High,0.7935,9.0,41.1,34.7,0.4577,0.6687,1
Air,East_Asia,Oceania,5713.6,34.8,23.0,0.6609,Standard,0.8678,14.5,71.6,30.3,0.6416,0.2623,1
Road,East_Asia,East_Asia,1902.5,35.7,32.2,0.902,High,0.9693,25.7,12.7,18.1,0.1425,0.6223,0
Ocean,South_Asia,Middle_East,11374.0,429.4,144.6,0.3367,High,0.7042,36.0,3.8,48.6,0.0984,0.7562,1
Rail,South_Asia,South_Asia,2648.6,98.6,34.8,0.3529,Standard,0.8146,41.9,24.9,47.7,0.2085,0.4477,1
Ocean,Southeast_Asia,Europe,13045.6,473.7,148.1,0.3126,Standard,0.99,18.8,43.5,30.7,0.5317,0.1309,1
Road,East_Asia,East_Asia,928.3,26.7,15.7,0.588,High,0.8406,40.7,40.5,50.6,0.0236,0.8469,1
Ocean,Europe,North_America,13730.3,468.6,65.3,0.1394,Standard,0.8875,48.4,38.7,29.4,0.197,0.0739,1
Road,North_America,North_America,678.9,19.4,5.0,0.2577,High,0.99,7.5,47.9,18.9,0.1516,0.9412,1
Ocean,Southeast_Asia,Oceania,14252.3,512.9,342.8,0.6684,Standard,0.7933,12.6,87.4,12.1,0.4699,0.4454,1
Road,Latin_America,Latin_America,150.0,14.4,7.2,0.5,Standard,0.7715,14.2,35.6,44.5,0.0792,0.9589,1
Road,Europe,Europe,1736.9,29.1,27.8,0.9553,High,0.8805,23.2,79.6,19.5,0.0896,0.8975,1
Ocean,South_Asia,Latin_America,16203.3,544.3,115.6,0.2124,Standard,0.7956,22.3,13.2,24.6,0.6288,0.7061,1
Ocean,Europe,Middle_East,11634.3,437.4,50.0,0.1143,High,0.721,20.6,9.9,29.7,0.2174,0.392,1
Ocean,South_Asia,Europe,3500.0,165.8,133.0,0.8022,High,0.7114,85.8,61.4,35.1,0.392,0.6242,1
Ocean,Southeast_Asia,Latin_America,11460.8,447.6,291.1,0.6504,Standard,0.8689,84.6,36.8,31.8,0.5732,0.5964,1
Ocean,Southeast_Asia,Latin_America,10499.0,407.2,262.1,0.6437,Standard,0.8463,26.5,17.6,5.7,0.3905,0.4012,1
Rail,East_Asia,Europe,5165.0,124.2,100.1,0.806,Standard,0.809,6.4,44.0,36.8,0.0698,0.5847,1
Ocean,Southeast_Asia,Oceania,10908.9,417.7,235.7,0.5643,High,0.8853,21.4,15.5,21.1,0.5183,0.1525,1
Road,East_Asia,East_Asia,731.5,21.6,17.7,0.8194,Standard,0.8484,59.0,19.6,12.4,0.0341,0.753,1
Ocean,East_Asia,Europe,13508.2,504.7,27.6,0.0547,Standard,0.9759,13.5,29.7,26.0,0.2893,0.9028,1
Rail,East_Asia,East_Asia,638.1,27.8,10.3,0.3705,High,0.9576,51.9,29.2,58.5,0.0255,0.5716,1
Rail,North_America,North_America,3455.9,93.6,63.6,0.6795,Standard,0.8608,75.7,37.6,4.6,0.1242,0.746,1
Ocean,Southeast_Asia,Oceania,15872.1,566.4,142.6,0.2518,High,0.8604,13.8,29.5,25.9,0.4851,0.4541,1
Road,East_Asia,East_Asia,1558.4,32.3,13.3,0.4118,Standard,0.99,28.0,26.9,25.9,0.1747,0.7115,1
Air,Middle_East,Europe,9793.6,47.8,23.9,0.5,High,0.7175,13.6,74.0,30.5,0.3544,0.9531,1
Air,Southeast_Asia,East_Asia,4663.8,19.5,9.6,0.4923,High,0.7722,20.3,43.0,26.3,0.6782,0.6529,1
Ocean,South_Asia,North_America,14280.1,524.8,71.4,0.1361,High,0.7325,28.6,24.4,35.9,0.5678,0.0739,1
Rail,East_Asia,East_Asia,3567.4,102.1,71.0,0.6954,High,0.8212,30.0,48.5,11.2,0.1794,0.2209,1
Ocean,South_Asia,Oceania,15165.6,563.8,215.5,0.3822,Standard,0.859,42.0,30.3,45.5,0.4916,0.6128,1
Ocean,East_Asia,North_America,5467.1,220.1,175.7,0.7983,Standard,0.8539,69.2,50.3,11.0,0.5019,0.6016,1
Road,Europe,Europe,1167.5,25.6,10.4,0.4062,Standard,0.6961,41.4,17.1,44.1,0.1784,0.6711,1
Ocean,Southeast_Asia,North_America,11348.7,441.7,350.6,0.7938,Standard,0.847,86.8,44.1,36.8,0.6151,0.6337,1
Air,South_Asia,North_America,1882.5,26.6,13.8,0.5188,High,0.8578,34.9,29.8,41.4,0.6466,0.8637,1
Air,Middle_East,Oceania,10721.7,37.4,29.2,0.7807,High,0.8701,9.2,53.1,44.6,0.1091,0.3674,1
Road,North_America,North_America,1533.7,28.6,20.3,0.7098,Standard,0.7049,46.8,53.7,9.2,0.0558,0.8482,1
Ocean,South_Asia,Oceania,6505.1,269.0,22.7,0.0844,Standard,0.9358,48.5,77.2,27.7,0.6368,0.291,1
Road,Europe,Europe,1122.8,22.7,12.4,0.5463,High,0.8617,5.9,89.9,8.4,0.0989,0.1362,1
Ocean,East_Asia,Oceania,11893.8,440.0,143.1,0.3252,Standard,0.7329,46.5,59.1,9.0,0.3224,0.1444,1
Ocean,South_Asia,North_America,13433.2,475.7,37.8,0.0795,High,0.9434,100.0,35.3,40.2,0.4221,0.4219,1
Rail,East_Asia,East_Asia,3930.9,107.4,63.8,0.594,High,0.8129,51.6,60.1,9.3,0.0554,0.3872,1
Ocean,Southeast_Asia,North_America,14702.3,530.6,407.4,0.7678,Standard,0.9305,20.8,39.4,20.2,0.522,0.1499,1
Rail,North_America,North_America,5054.1,122.9,85.0,0.6916,Standard,0.7146,30.8,96.7,26.9,0.0778,0.6973,1
Rail,East_Asia,Europe,5130.2,128.3,119.9,0.9345,Standard,0.99,58.7,21.3,48.5,0.6616,0.2215,1
Ocean,South_Asia,Europe,9632.8,364.7,253.4,0.6948,Standard,0.8169,9.9,46.2,6.2,0.3738,0.2302,1
Ocean,East_Asia,Latin_America,12927.7,485.7,283.6,0.5839,High,0.7551,76.9,70.6,16.6,0.3747,0.366,1
Air,North_America,Middle_East,6202.5,41.8,22.5,0.5383,Standard,0.8892,25.4,50.2,24.1,0.3457,0.2038,1
Air,East_Asia,Middle_East,8433.4,42.0,21.3,0.5071,Standard,0.9896,32.9,87.1,20.2,0.7529,0.54,1
Air,Europe,East_Asia,9049.2,35.1,2.2,0.0627,Standard,0.8949,23.6,81.9,22.3,0.4829,0.7623,1
Ocean,South_Asia,Latin_America,11314.4,393.9,327.0,0.8302,High,0.7372,45.0,68.7,12.1,0.8953,0.8021,1
Ocean,South_Asia,Oceania,9980.1,385.1,244.1,0.6339,Standard,0.9166,47.3,23.7,11.5,0.6499,0.6176,1
Air,Middle_East,East_Asia,6817.6,43.5,24.5,0.5632,Urgent,0.9266,66.6,47.9,22.0,0.1342,0.8359,1
Air,Middle_East,Europe,5214.7,31.8,4.3,0.1352,Standard,0.8128,74.3,38.8,35.2,0.4456,0.6579,1
Ocean,South_Asia,Europe,15701.3,559.2,259.5,0.4641,Standard,0.854,25.6,19.5,4.5,0.0794,0.2186,1
Ocean,Southeast_Asia,North_America,10576.2,416.0,246.2,0.5918,High,0.8723,25.2,17.5,20.0,0.728,0.6681,1
Ocean,Europe,North_America,8771.4,347.0,146.1,0.421,Standard,0.99,51.7,52.5,12.7,0.6102,0.0769,1
Road,Europe,Europe,1361.3,26.2,25.2,0.9618,Urgent,0.99,25.3,33.5,44.9,0.0984,0.9442,1
Air,Southeast_Asia,Latin_America,10097.4,45.2,11.9,0.2633,Standard,0.6436,77.8,20.6,82.3,0.185,0.1745,1
Rail,North_America,East_Asia,3154.5,98.8,73.7,0.746,Standard,0.6151,52.5,20.1,19.7,0.3279,0.1995,1
Air,Latin_America,Europe,9526.0,45.6,23.5,0.5154,Standard,0.7132,9.6,29.0,10.9,0.6128,0.3627,1
Road,Latin_America,Latin_America,247.1,16.5,12.8,0.7758,Urgent,0.7951,17.3,17.7,18.0,0.1291,0.8759,0
Air,Middle_East,Latin_America,9166.5,35.8,26.2,0.7318,Standard,0.7851,31.3,32.1,15.3,0.5709,0.0524,1
Road,East_Asia,Latin_America,1600.7,32.3,24.6,0.7616,High,0.99,17.0,83.9,44.5,0.2497,0.5508,1
Air,Southeast_Asia,Latin_America,9616.4,37.3,18.5,0.496,Standard,0.8167,25.5,35.2,58.5,0.4672,0.5347,1
Ocean,Southeast_Asia,Latin_America,8138.0,303.7,99.0,0.326,Standard,0.8008,83.6,34.7,45.3,0.8778,0.9115,1
Rail,South_Asia,South_Asia,3905.6,110.7,107.1,0.9675,High,0.8207,52.2,26.6,33.3,0.103,0.2877,1
Air,Southeast_Asia,Middle_East,8682.9,26.2,17.1,0.6527,Standard,0.7138,29.2,37.1,43.3,0.5821,0.2422,1
Ocean,Southeast_Asia,Middle_East,9415.7,388.1,74.5,0.192,High,0.8925,41.8,100.0,32.6,0.6158,0.7018,1
Rail,South_Asia,Europe,2892.8,71.8,62.3,0.8677,Standard,0.8256,34.4,52.8,50.6,0.3948,0.0724,1
Road,Europe,Europe,1921.5,32.5,21.2,0.6523,Standard,0.9323,17.0,49.9,53.6,0.02,0.1899,1
Ocean,East_Asia,Latin_America,15941.2,537.6,453.3,0.8432,Standard,0.8927,61.0,25.4,22.2,0.4727,0.138,1
Air,South_Asia,Latin_America,1200.0,20.1,14.5,0.7214,Standard,0.99,22.9,36.4,21.3,0.3363,0.3707,0
Air,East_Asia,Europe,4434.7,34.8,2.7,0.0776,Urgent,0.7032,33.3,56.4,34.2,0.5848,0.8788,1
Road,East_Asia,Europe,2123.7,39.4,12.6,0.3198,Standard,0.99,9.8,13.4,25.9,0.3642,0.6522,1
Ocean,Southeast_Asia,Oceania,15424.6,530.7,102.4,0.193,Standard,0.9786,20.9,22.9,30.7,0.817,0.886,1
Road,Europe,Europe,1367.0,34.4,16.1,0.468,Standard,0.7108,33.3,36.3,19.6,0.1536,0.6212,1
Road,East_Asia,East_Asia,1470.6,34.7,9.5,0.2738,High,0.8754,53.4,50.4,8.9,0.098,0.2684,1
Ocean,South_Asia,Middle_East,10075.7,397.9,283.7,0.713,Urgent,0.657,28.9,48.1,49.3,0.8564,0.9729,1
Rail,Europe,Europe,2101.5,85.7,80.6,0.9405,High,0.7233,15.8,18.4,32.5,0.1894,0.8175,1
Road,Europe,Europe,1014.4,28.9,18.3,0.6332,Standard,0.829,65.0,10.0,39.9,0.1539,0.8801,1
Ocean,South_Asia,Middle_East,16440.9,574.1,52.6,0.0916,Standard,0.9856,67.4,3.2,54.7,0.5605,0.4735,1
Ocean,Southeast_Asia,Middle_East,10541.9,372.6,321.6,0.8631,Urgent,0.7816,24.1,10.4,22.2,0.2125,0.4208,1
Rail,South_Asia,South_Asia,3029.5,98.3,56.2,0.5717,High,0.8349,40.0,19.8,54.1,0.126,0.8477,1
Ocean,Europe,North_America,7812.8,299.1,271.2,0.9067,Standard,0.7552,26.5,49.0,63.4,0.2664,0.7921,1
Road,East_Asia,Europe,948.8,25.6,18.9,0.7383,Urgent,0.7341,28.9,49.5,12.3,0.4301,0.4211,1
Air,Middle_East,North_America,8251.9,33.0,30.0,0.9091,Standard,0.6815,26.0,62.1,10.1,0.3523,0.0934,1
Road,Latin_America,Latin_America,1174.1,25.8,25.1,0.9729,Urgent,0.9758,7.1,13.0,44.2,0.1558,0.5808,0
Rail,East_Asia,East_Asia,2356.5,78.7,72.8,0.925,Standard,0.7182,54.3,80.5,15.8,0.2163,0.0893,1
Ocean,Southeast_Asia,Middle_East,7740.6,299.2,114.6,0.383,High,0.7682,10.3,54.5,27.7,0.3995,0.8215,1
Road,North_America,Latin_America,1082.1,19.6,6.4,0.3265,Standard,0.7159,48.6,9.9,46.1,0.3162,0.9739,1
Ocean,Europe,Oceania,6494.9,254.5,209.3,0.8224,Standard,0.8223,59.3,27.3,26.2,0.568,0.3799,1
Ocean,Southeast_Asia,Latin_America,10908.0,405.8,340.9,0.8401,Standard,0.7979,33.9,57.4,20.2,0.5747,0.7511,1
Rail,Europe,North_America,3498.2,82.8,56.0,0.6763,Standard,0.8639,6.1,29.2,36.1,0.2522,0.0867,1
Ocean,South_Asia,Oceania,12248.2,444.9,382.6,0.86,Standard,0.9034,30.6,11.1,35.2,0.4953,0.8561,1
Ocean,East_Asia,Middle_East,14276.0,496.7,116.5,0.2345,High,0.7102,17.2,33.1,12.9,0.4611,0.3948,1
Ocean,East_Asia,Middle_East,10276.2,404.7,213.8,0.5283,Standard,0.7223,76.3,19.3,30.1,0.4751,0.8305,1
Air,East_Asia,Oceania,7424.1,43.4,4.7,0.1083,Standard,0.99,47.0,25.4,14.6,0.6382,0.1514,1
Rail,Europe,Europe,5264.4,153.1,147.8,0.9654,High,0.7316,5.4,29.9,8.0,0.1428,0.482,1
Ocean,South_Asia,Middle_East,8671.2,325.0,309.7,0.9529,High,0.99,60.8,36.5,50.9,0.3848,0.5264,1
Road,Latin_America,Latin_America,833.6,18.0,15.5,0.8611,High,0.8527,21.1,18.5,24.4,0.0792,0.9351,1
Road,Europe,Europe,1523.6,31.3,24.9,0.7955,High,0.9317,100.0,35.7,24.4,0.2272,0.5764,1
Rail,Europe,Europe,3307.4,108.0,82.0,0.7593,High,0.8558,50.8,41.6,23.3,0.162,0.617,1
Road,North_America,Latin_America,1831.4,40.8,2.5,0.0613,Standard,0.99,30.2,38.8,12.9,0.1921,0.7673,1
Ocean,East_Asia,Oceania,16426.3,580.1,188.5,0.3249,High,0.6608,14.7,49.4,64.0,0.2958,0.9543,1
Ocean,Europe,Europe,8489.1,302.2,80.9,0.2677,Standard,0.9358,39.8,40.5,26.7,0.082,0.6,1
Rail,Europe,Europe,4349.5,128.7,93.5,0.7265,Standard,0.7585,13.3,28.1,28.0,0.1202,0.9326,1
Ocean,Europe,Latin_America,11274.9,437.2,396.9,0.9078,High,0.9404,28.2,21.8,48.8,0.4062,0.8761,1
Air,East_Asia,Middle_East,6406.3,28.9,3.2,0.1107,Standard,0.8296,100.0,34.2,26.7,0.7165,0.5517,1
Road,North_America,Latin_America,2154.0,39.2,10.3,0.2628,Standard,0.9745,46.4,47.7,25.6,0.3622,0.3423,1
Air,North_America,Latin_America,5545.1,42.0,16.5,0.3929,Standard,0.6907,33.2,28.6,55.3,0.4402,0.6041,1
Rail,Europe,East_Asia,6841.3,176.9,106.6,0.6026,High,0.9386,49.4,43.0,57.5,0.3598,0.3709,1
