transport_mode,origin_region,destination_region,route_distance_km,planned_duration_hours,elapsed_transit_hours,transit_progress_pct,priority_level,carrier_reliability_score,origin_port_congestion_index,dest_port_congestion_index,weather_severity_index,customs_inspection_risk,seasonal_disruption_factor,disrupted,split
Ocean,Southeast_Asia,Latin_America,7722.8,302.4,290.8,0.9616,High,0.7935,9.0,41.1,34.7,0.4577,0.6687,1,train
Air,East_Asia,Oceania,5713.6,34.8,23.0,0.6609,Standard,0.8678,14.5,71.6,30.3,0.6416,0.2623,1,train
Road,East_Asia,East_Asia,1902.5,35.7,32.2,0.902,High,0.9693,25.7,12.7,18.1,0.1425,0.6223,0,train
Ocean,South_Asia,Middle_East,11374.0,429.4,144.6,0.3367,High,0.7042,36.0,3.8,48.6,0.0984,0.7562,1,train
Rail,South_Asia,South_Asia,2648.6,98.6,34.8,0.3529,Standard,0.8146,41.9,24.9,47.7,0.2085,0.4477,1,train
Ocean,Southeast_Asia,Europe,13045.6,473.7,148.1,0.3126,Standard,0.99,18.8,43.5,30.7,0.5317,0.1309,1,train
Road,East_Asia,East_Asia,928.3,26.7,15.7,0.588,High,0.8406,40.7,40.5,50.6,0.0236,0.8469,1,train
Ocean,Europe,North_America,13730.3,468.6,65.3,0.1394,Standard,0.8875,48.4,38.7,29.4,0.197,0.0739,1,train
Road,North_America,North_America,678.9,19.4,5.0,0.2577,High,0.99,7.5,47.9,18.9,0.1516,0.9412,1,train
Ocean,Southeast_Asia,Oceania,14252.3,512.9,342.8,0.6684,Standard,0.7933,12.6,87.4,12.1,0.4699,0.4454,1,train
Road,Latin_America,Latin_America,150.0,14.4,7.2,0.5,Standard,0.7715,14.2,35.6,44.5,0.0792,0.9589,1,train
Road,Europe,Europe,1736.9,29.1,27.8,0.9553,High,0.8805,23.2,79.6,19.5,0.0896,0.8975,1,train
Ocean,South_Asia,Latin_America,16203.3,544.3,115.6,0.2124,Standard,0.7956,22.3,13.2,24.6,0.6288,0.7061,1,train
Ocean,Europe,Middle_East,11634.3,437.4,50.0,0.1143,High,0.721,20.6,9.9,29.7,0.2174,0.392,1,train
Ocean,South_Asia,Europe,3500.0,165.8,133.0,0.8022,High,0.7114,85.8,61.4,35.1,0.392,0.6242,1,train
Ocean,Southeast_Asia,Latin_America,11460.8,447.6,291.1,0.6504,Standard,0.8689,84.6,36.8,31.8,0.5732,0.5964,1,train
Ocean,Southeast_Asia,Latin_America,10499.0,407.2,262.1,0.6437,Standard,0.8463,26.5,17.6,5.7,0.3905,0.4012,1,train
Rail,East_Asia,Europe,5165.0,124.2,100.1,0.806,Standard,0.809,6.4,44.0,36.8,0.0698,0.5847,1,train
Ocean,Southeast_Asia,Oceania,10908.9,417.7,235.7,0.5643,High,0.8853,21.4,15.5,21.1,0.5183,0.1525,1,train
Road,East_Asia,East_Asia,731.5,21.6,17.7,0.8194,Standard,0.8484,59.0,19.6,12.4,0.0341,0.753,1,train
Ocean,East_Asia,Europe,13508.2,504.7,27.6,0.0547,Standard,0.9759,13.5,29.7,26.0,0.2893,0.9028,1,train
Rail,East_Asia,East_Asia,638.1,27.8,10.3,0.3705,High,0.9576,51.9,29.2,58.5,0.0255,0.5716,1,train
Rail,North_America,North_America,3455.9,93.6,63.6,0.6795,Standard,0.8608,75.7,37.6,4.6,0.1242,0.746,1,train
Ocean,Southeast_Asia,Oceania,15872.1,566.4,142.6,0.2518,High,0.8604,13.8,29.5,25.9,0.4851,0.4541,1,train
Road,East_Asia,East_Asia,1558.4,32.3,13.3,0.4118,Standard,0.99,28.0,26.9,25.9,0.1747,0.7115,1,train
Air,Middle_East,Europe,9793.6,47.8,23.9,0.5,High,0.7175,13.6,74.0,30.5,0.3544,0.9531,1,train
Air,Southeast_Asia,East_Asia,4663.8,19.5,9.6,0.4923,High,0.7722,20.3,43.0,26.3,0.6782,0.6529,1,train
Ocean,South_Asia,North_America,14280.1,524.8,71.4,0.1361,High,0.7325,28.6,24.4,35.9,0.5678,0.0739,1,train
Rail,East_Asia,East_Asia,3567.4,102.1,71.0,0.6954,High,0.8212,30.0,48.5,11.2,0.1794,0.2209,1,train
Ocean,South_Asia,Oceania,15165.6,563.8,215.5,0.3822,Standard,0.859,42.0,30.3,45.5,0.4916,0.6128,1,train
Ocean,East_Asia,North_America,5467.1,220.1,175.7,0.7983,Standard,0.8539,69.2,50.3,11.0,0.5019,0.6016,1,train
Road,Europe,Europe,1167.5,25.6,10.4,0.4062,Standard,0.6961,41.4,17.1,44.1,0.1784,0.6711,1,train
Ocean,Southeast_Asia,North_America,11348.7,441.7,350.6,0.7938,Standard,0.847,86.8,44.1,36.8,0.6151,0.6337,1,train
Air,South_Asia,North_America,1882.5,26.6,13.8,0.5188,High,0.8578,34.9,29.8,41.4,0.6466,0.8637,1,train
Air,Middle_East,Oceania,10721.7,37.4,29.2,0.7807,High,0.8701,9.2,53.1,44.6,0.1091,0.3674,1,train
Road,North_America,North_America,1533.7,28.6,20.3,0.7098,Standard,0.7049,46.8,53.7,9.2,0.0558,0.8482,1,train
Ocean,South_Asia,Oceania,6505.1,269.0,22.7,0.0844,Standard,0.9358,48.5,77.2,27.7,0.6368,0.291,1,train
Road,Europe,Europe,1122.8,22.7,12.4,0.5463,High,0.8617,5.9,89.9,8.4,0.0989,0.1362,1,train
Ocean,East_Asia,Oceania,11893.8,440.0,143.1,0.3252,Standard,0.7329,46.5,59.1,9.0,0.3224,0.1444,1,train
Ocean,South_Asia,North_America,13433.2,475.7,37.8,0.0795,High,0.9434,100.0,35.3,40.2,0.4221,0.4219,1,train
Rail,East_Asia,East_Asia,3930.9,107.4,63.8,0.594,High,0.8129,51.6,60.1,9.3,0.0554,0.3872,1,train
Ocean,Southeast_Asia,North_America,14702.3,530.6,407.4,0.7678,Standard,0.9305,20.8,39.4,20.2,0.522,0.1499,1,train
Rail,North_America,North_America,5054.1,122.9,85.0,0.6916,Standard,0.7146,30.8,96.7,26.9,0.0778,0.6973,1,train
Rail,East_Asia,Europe,5130.2,128.3,119.9,0.9345,Standard,0.99,58.7,21.3,48.5,0.6616,0.2215,1,train
Ocean,South_Asia,Europe,9632.8,364.7,253.4,0.6948,Standard,0.8169,9.9,46.2,6.2,0.3738,0.2302,1,train
Ocean,East_Asia,Latin_America,12927.7,485.7,283.6,0.5839,High,0.7551,76.9,70.6,16.6,0.3747,0.366,1,train
Air,North_America,Middle_East,6202.5,41.8,22.5,0.5383,Standard,0.8892,25.4,50.2,24.1,0.3457,0.2038,1,train
Air,East_Asia,Middle_East,8433.4,42.0,21.3,0.5071,Standard,0.9896,32.9,87.1,20.2,0.7529,0.54,1,train
Air,Europe,East_Asia,9049.2,35.1,2.2,0.0627,Standard,0.8949,23.6,81.9,22.3,0.4829,0.7623,1,train
Ocean,South_Asia,Latin_America,11314.4,393.9,327.0,0.8302,High,0.7372,45.0,68.7,12.1,0.8953,0.8021,1,train
Ocean,South_Asia,Oceania,9980.1,385.1,244.1,0.6339,Standard,0.9166,47.3,23.7,11.5,0.6499,0.6176,1,train
Air,Middle_East,East_Asia,6817.6,43.5,24.5,0.5632,Urgent,0.9266,66.6,47.9,22.0,0.1342,0.8359,1,train
Air,Middle_East,Europe,5214.7,31.8,4.3,0.1352,Standard,0.8128,74.3,38.8,35.2,0.4456,0.6579,1,train
Ocean,South_Asia,Europe,15701.3,559.2,259.5,0.4641,Standard,0.854,25.6,19.5,4.5,0.0794,0.2186,1,train
Ocean,Southeast_Asia,North_America,10576.2,416.0,246.2,0.5918,High,0.8723,25.2,17.5,20.0,0.728,0.6681,1,train
Ocean,Europe,North_America,8771.4,347.0,146.1,0.421,Standard,0.99,51.7,52.5,12.7,0.6102,0.0769,1,train
Road,Europe,Europe,1361.3,26.2,25.2,0.9618,Urgent,0.99,25.3,33.5,44.9,0.0984,0.9442,1,train
Air,Southeast_Asia,Latin_America,10097.4,45.2,11.9,0.2633,Standard,0.6436,77.8,20.6,82.3,0.185,0.1745,1,train
Rail,North_America,East_Asia,3154.5,98.8,73.7,0.746,Standard,0.6151,52.5,20.1,19.7,0.3279,0.1995,1,train
Air,Latin_America,Europe,9526.0,45.6,23.5,0.5154,Standard,0.7132,9.6,29.0,10.9,0.6128,0.3627,1,train
Road,Latin_America,Latin_America,247.1,16.5,12.8,0.7758,Urgent,0.7951,17.3,17.7,18.0,0.1291,0.8759,0,train
Air,Middle_East,Latin_America,9166.5,35.8,26.2,0.7318,Standard,0.7851,31.3,32.1,15.3,0.5709,0.0524,1,train
Road,East_Asia,Latin_America,1600.7,32.3,24.6,0.7616,High,0.99,17.0,83.9,44.5,0.2497,0.5508,1,train
Air,Southeast_Asia,Latin_America,9616.4,37.3,18.5,0.496,Standard,0.8167,25.5,35.2,58.5,0.4672,0.5347,1,train
Ocean,Southeast_Asia,Latin_America,8138.0,303.7,99.0,0.326,Standard,0.8008,83.6,34.7,45.3,0.8778,0.9115,1,train
Rail,South_Asia,South_Asia,3905.6,110.7,107.1,0.9675,High,0.8207,52.2,26.6,33.3,0.103,0.2877,1,train
Air,Southeast_Asia,Middle_East,8682.9,26.2,17.1,0.6527,Standard,0.7138,29.2,37.1,43.3,0.5821,0.2422,1,train
Ocean,Southeast_Asia,Middle_East,9415.7,388.1,74.5,0.192,High,0.8925,41.8,100.0,32.6,0.6158,0.7018,1,train
Rail,South_Asia,Europe,2892.8,71.8,62.3,0.8677,Standard,0.8256,34.4,52.8,50.6,0.3948,0.0724,1,train
Road,Europe,Europe,1921.5,32.5,21.2,0.6523,Standard,0.9323,17.0,49.9,53.6,0.02,0.1899,1,train
Ocean,East_Asia,Latin_America,15941.2,537.6,453.3,0.8432,Standard,0.8927,61.0,25.4,22.2,0.4727,0.138,1,train
Air,South_Asia,Latin_America,1200.0,20.1,14.5,0.7214,Standard,0.99,22.9,36.4,21.3,0.3363,0.3707,0,train
Air,East_Asia,Europe,4434.7,34.8,2.7,0.0776,Urgent,0.7032,33.3,56.4,34.2,0.5848,0.8788,1,train
Road,East_Asia,Europe,2123.7,39.4,12.6,0.3198,Standard,0.99,9.8,13.4,25.9,0.3642,0.6522,1,train
Ocean,Southeast_Asia,Oceania,15424.6,530.7,102.4,0.193,Standard,0.9786,20.9,22.9,30.7,0.817,0.886,1,train
Road,Europe,Europe,1367.0,34.4,16.1,0.468,Standard,0.7108,33.3,36.3,19.6,0.1536,0.6212,1,train
Road,East_Asia,East_Asia,1470.6,34.7,9.5,0.2738,High,0.8754,53.4,50.4,8.9,0.098,0.2684,1,train
Ocean,South_Asia,Middle_East,10075.7,397.9,283.7,0.713,Urgent,0.657,28.9,48.1,49.3,0.8564,0.9729,1,train
Rail,Europe,Europe,2101.5,85.7,80.6,0.9405,High,0.7233,15.8,18.4,32.5,0.1894,0.8175,1,train
Road,Europe,Europe,1014.4,28.9,18.3,0.6332,Standard,0.829,65.0,10.0,39.9,0.1539,0.8801,1,train
Ocean,South_Asia,Middle_East,16440.9,574.1,52.6,0.0916,Standard,0.9856,67.4,3.2,54.7,0.5605,0.4735,1,train
Ocean,Southeast_Asia,Middle_East,10541.9,372.6,321.6,0.8631,Urgent,0.7816,24.1,10.4,22.2,0.2125,0.4208,1,train
Rail,South_Asia,South_Asia,3029.5,98.3,56.2,0.5717,High,0.8349,40.0,19.8,54.1,0.126,0.8477,1,train
Ocean,Europe,North_America,7812.8,299.1,271.2,0.9067,Standard,0.7552,26.5,49.0,63.4,0.2664,0.7921,1,train
Road,East_Asia,Europe,948.8,25.6,18.9,0.7383,Urgent,0.7341,28.9,49.5,12.3,0.4301,0.4211,1,train
Air,Middle_East,North_America,8251.9,33.0,30.0,0.9091,Standard,0.6815,26.0,62.1,10.1,0.3523,0.0934,1,train
Road,Latin_America,Latin_America,1174.1,25.8,25.1,0.9729,Urgent,0.9758,7.1,13.0,44.2,0.1558,0.5808,0,train
Rail,East_Asia,East_Asia,2356.5,78.7,72.8,0.925,Standard,0.7182,54.3,80.5,15.8,0.2163,0.0893,1,train
Ocean,Southeast_Asia,Middle_East,7740.6,299.2,114.6,0.383,High,0.7682,10.3,54.5,27.7,0.3995,0.8215,1,train
Road,North_America,Latin_America,1082.1,19.6,6.4,0.3265,Standard,0.7159,48.6,9.9,46.1,0.3162,0.9739,1,train
Ocean,Europe,Oceania,6494.9,254.5,209.3,0.8224,Standard,0.8223,59.3,27.3,26.2,0.568,0.3799,1,train
Ocean,Southeast_Asia,Latin_America,10908.0,405.8,340.9,0.8401,Standard,0.7979,33.9,57.4,20.2,0.5747,0.7511,1,train
Rail,Europe,North_America,3498.2,82.8,56.0,0.6763,Standard,0.8639,6.1,29.2,36.1,0.2522,0.0867,1,train
Ocean,South_Asia,Oceania,12248.2,444.9,382.6,0.86,Standard,0.9034,30.6,11.1,35.2,0.4953,0.8561,1,train
Ocean,East_Asia,Middle_East,14276.0,496.7,116.5,0.2345,High,0.7102,17.2,33.1,12.9,0.4611,0.3948,1,train
Ocean,East_Asia,Middle_East,10276.2,404.7,213.8,0.5283,Standard,0.7223,76.3,19.3,30.1,0.4751,0.8305,1,train
Air,East_Asia,Oceania,7424.1,43.4,4.7,0.1083,Standard,0.99,47.0,25.4,14.6,0.6382,0.1514,1,train
Rail,Europe,Europe,5264.4,153.1,147.8,0.9654,High,0.7316,5.4,29.9,8.0,0.1428,0.482,1,train
Ocean,South_Asia,Middle_East,8671.2,325.0,309.7,0.9529,High,0.99,60.8,36.5,50.9,0.3848,0.5264,1,train
Road,Latin_America,Latin_America,833.6,18.0,15.5,0.8611,High,0.8527,21.1,18.5,24.4,0.0792,0.9351,1,train
Road,Europe,Europe,1523.6,31.3,24.9,0.7955,High,0.9317,100.0,35.7,24.4,0.2272,0.5764,1,train
Rail,Europe,Europe,3307.4,108.0,82.0,0.7593,High,0.8558,50.8,41.6,23.3,0.162,0.617,1,train
Road,North_America,Latin_America,1831.4,40.8,2.5,0.0613,Standard,0.99,30.2,38.8,12.9,0.1921,0.7673,1,train
Ocean,East_Asia,Oceania,16426.3,580.1,188.5,0.3249,High,0.6608,14.7,49.4,64.0,0.2958,0.9543,1,train
Ocean,Europe,Europe,8489.1,302.2,80.9,0.2677,Standard,0.9358,39.8,40.5,26.7,0.082,0.6,1,train
Rail,Europe,Europe,4349.5,128.7,93.5,0.7265,Standard,0.7585,13.3,28.1,28.0,0.1202,0.9326,1,train
Ocean,Europe,Latin_America,11274.9,437.2,396.9,0.9078,High,0.9404,28.2,21.8,48.8,0.4062,0.8761,1,train
Air,East_Asia,Middle_East,6406.3,28.9,3.2,0.1107,Standard,0.8296,100.0,34.2,26.7,0.7165,0.5517,1,train
Road,North_America,Latin_America,2154.0,39.2,10.3,0.2628,Standard,0.9745,46.4,47.7,25.6,0.3622,0.3423,1,train
Air,North_America,Latin_America,5545.1,42.0,16.5,0.3929,Standard,0.6907,33.2,28.6,55.3,0.4402,0.6041,1,train
Rail,Europe,East_Asia,6841.3,176.9,106.6,0.6026,High,0.9386,49.4,43.0,57.5,0.3598,0.3709,1,train
Ocean,South_Asia,Oceania,14882.7,521.0,331.5,0.6363,Standard,0.99,23.6,35.2,22.5,0.6252,0.8715,1,train
Ocean,Southeast_Asia,Latin_America,11602.4,434.6,169.0,0.3889,High,0.9505,52.7,54.6,45.6,0.7697,0.5259,1,train
Road,North_America,Latin_America,2326.5,43.8,39.1,0.8927,High,0.754,13.5,26.4,11.0,0.4352,0.879,1,train
Ocean,Europe,Europe,12373.1,448.1,410.9,0.917,Standard,0.7953,82.4,20.4,11.9,0.1398,0.6752,1,train
Ocean,Southeast_Asia,Middle_East,3500.0,159.4,139.1,0.8726,High,0.7841,21.4,51.2,41.3,0.2732,0.9599,1,train
Air,South_Asia,Europe,6457.3,36.1,11.4,0.3158,Standard,0.8188,26.5,57.5,12.7,0.331,0.8824,1,train
Ocean,Southeast_Asia,Europe,10707.9,389.6,176.0,0.4517,Standard,0.7845,33.0,10.6,55.6,0.1339,0.1095,1,train
Road,East_Asia,North_America,150.0,8.5,2.2,0.2588,Standard,0.8058,25.0,16.5,85.5,0.3586,0.105,1,train
Air,Latin_America,North_America,2307.7,27.6,14.7,0.5326,Standard,0.99,15.4,76.9,77.6,0.6644,0.6586,1,train
Road,Latin_America,Latin_America,1746.9,39.4,15.4,0.3909,High,0.9118,38.6,13.8,31.6,0.02,0.212,0,train
Ocean,Europe,Middle_East,10957.3,436.4,374.9,0.8591,Standard,0.9042,45.0,28.0,3.3,0.3166,0.4804,1,train
Ocean,Europe,Oceania,8872.2,339.1,141.4,0.417,Standard,0.9578,37.5,24.6,41.3,0.6329,0.4035,1,train
Road,East_Asia,East_Asia,961.2,25.9,11.1,0.4286,Standard,0.9077,73.4,37.7,69.3,0.0843,0.1734,1,train
Air,Southeast_Asia,East_Asia,7613.9,33.6,14.9,0.4435,Standard,0.9343,14.6,14.9,42.5,0.6963,0.7317,1,train
Rail,South_Asia,South_Asia,2222.1,83.9,30.8,0.3671,High,0.9351,5.3,41.9,48.4,0.1213,0.6268,1,train
Air,Europe,Oceania,8635.4,42.7,31.1,0.7283,Urgent,0.9257,34.4,31.8,4.1,0.5457,0.1622,1,train
Air,Middle_East,Europe,5926.1,40.6,3.4,0.0837,Standard,0.7771,37.9,17.8,94.8,0.332,0.9556,1,train
Road,North_America,Europe,1967.0,32.2,30.7,0.9534,Standard,0.7508,12.9,38.2,18.0,0.1431,0.7685,1,train
Ocean,Europe,Middle_East,9900.7,349.3,113.8,0.3258,Standard,0.99,19.4,25.3,58.2,0.6462,0.9729,1,train
Ocean,Southeast_Asia,Oceania,11509.4,442.8,177.7,0.4013,High,0.8482,39.5,65.4,21.4,0.0701,0.3817,1,train
Air,Latin_America,Middle_East,3095.2,29.6,23.4,0.7905,Standard,0.7321,14.1,9.3,57.8,0.7751,0.8033,1,train
Air,North_America,Europe,9802.7,39.6,2.9,0.0732,Standard,0.7249,49.8,42.1,49.6,0.1489,0.2129,1,train
Ocean,East_Asia,Oceania,12496.5,434.9,211.2,0.4856,Standard,0.7586,19.1,71.6,25.2,0.2599,0.3062,1,train
Ocean,South_Asia,Europe,11991.3,460.9,175.7,0.3812,High,0.99,14.8,3.8,21.1,0.7179,0.5843,1,train
Air,South_Asia,Latin_America,8307.0,35.1,20.4,0.5812,Standard,0.8059,25.6,29.8,49.1,0.8444,0.0891,1,train
Ocean,Southeast_Asia,Europe,9634.6,351.9,68.2,0.1938,Standard,0.889,32.8,31.7,27.9,0.6022,0.3224,1,train
Ocean,South_Asia,Oceania,7733.6,304.6,134.2,0.4406,High,0.7677,37.1,26.4,43.3,0.5031,0.0999,1,train
Ocean,East_Asia,Middle_East,11609.7,409.0,324.7,0.7939,Standard,0.8291,28.0,14.7,27.4,0.3292,0.5964,1,train
Road,Latin_America,North_America,1330.0,29.0,5.1,0.1759,High,0.8446,57.8,34.5,72.1,0.05,0.4563,1,train
Rail,North_America,North_America,2399.3,60.5,50.6,0.8364,High,0.8204,37.8,23.8,36.0,0.2177,0.8061,1,train
Ocean,Southeast_Asia,Middle_East,13912.4,521.8,95.3,0.1826,Standard,0.756,71.5,26.9,18.3,0.5433,0.6075,1,train
Ocean,South_Asia,Latin_America,9876.8,386.7,168.0,0.4344,Urgent,0.99,27.7,33.0,48.9,0.6841,0.5402,1,train
Ocean,Europe,Europe,6772.2,252.1,12.7,0.0504,Standard,0.8479,24.1,46.5,17.6,0.0894,0.1714,1,train
Air,Europe,Middle_East,8312.1,30.7,16.6,0.5407,Urgent,0.7967,57.1,14.7,9.4,0.3723,0.3211,1,train
Rail,Europe,Europe,4259.8,99.7,5.5,0.0552,Standard,0.6198,8.0,45.9,13.0,0.0815,0.5381,1,train
Road,East_Asia,Latin_America,781.6,22.0,6.4,0.2909,Standard,0.848,31.0,44.0,49.1,0.3764,0.525,1,train
Ocean,Europe,Latin_America,7651.5,301.5,291.7,0.9675,Standard,0.7809,35.4,26.5,32.0,0.4293,0.2935,1,train
Air,Latin_America,Europe,10817.8,38.3,36.5,0.953,Standard,0.8863,27.9,32.1,40.6,0.4924,0.7317,1,train
Road,Europe,Europe,951.4,18.0,10.3,0.5722,Standard,0.7823,15.8,34.5,40.6,0.1317,0.6536,1,train
Rail,Europe,Europe,3912.5,100.3,50.7,0.5055,Standard,0.8642,10.5,12.9,28.0,0.1255,0.1959,0,train
Air,South_Asia,East_Asia,5993.8,25.3,3.0,0.1186,Urgent,0.7363,39.4,19.6,13.3,0.6898,0.0811,1,train
Ocean,East_Asia,North_America,14236.9,528.5,517.1,0.9784,Standard,0.8925,8.9,39.6,20.4,0.3999,0.7929,1,train
Ocean,East_Asia,Oceania,15415.9,572.5,436.9,0.7631,Standard,0.9507,47.9,27.9,11.9,0.5026,0.7952,1,train
Ocean,Europe,North_America,12817.4,445.5,427.7,0.96,High,0.8094,48.1,28.1,23.4,0.4202,0.2887,1,train
Air,South_Asia,Oceania,8087.3,24.6,15.3,0.622,Standard,0.8143,8.0,11.4,38.1,0.3039,0.6433,1,train
Air,East_Asia,Oceania,8000.4,39.0,23.1,0.5923,Standard,0.9007,74.7,17.9,19.9,0.2892,0.6201,1,train
Ocean,South_Asia,Middle_East,9363.7,331.9,242.0,0.7291,High,0.99,12.3,32.4,11.0,0.3577,0.0798,0,train
Rail,South_Asia,South_Asia,2562.4,77.2,45.9,0.5946,Standard,0.7646,37.4,12.7,38.0,0.188,0.8316,1,train
Ocean,South_Asia,Europe,15003.0,542.7,423.9,0.7811,High,0.9286,31.9,29.9,47.1,0.4938,0.5145,1,train
Ocean,Europe,Latin_America,9858.4,396.5,142.4,0.3591,Standard,0.7879,47.0,15.5,19.0,0.4232,0.0833,1,train
Ocean,East_Asia,Europe,11512.8,403.1,294.7,0.7311,High,0.8001,12.5,38.3,15.1,0.4291,0.966,1,train
Road,East_Asia,Europe,2041.3,37.0,34.6,0.9351,High,0.99,23.8,30.7,21.7,0.5222,0.6272,1,train
Rail,South_Asia,South_Asia,4920.2,140.3,103.0,0.7341,Standard,0.9182,20.5,45.3,24.1,0.1076,0.735,1,train
Ocean,Southeast_Asia,Europe,18274.6,651.8,535.4,0.8214,Standard,0.751,65.7,9.8,56.0,0.6305,0.5978,1,train
Rail,South_Asia,East_Asia,1640.9,76.0,23.6,0.3105,High,0.9308,23.4,36.5,62.2,0.492,0.7996,1,train
Rail,South_Asia,South_Asia,5510.3,152.8,97.3,0.6368,High,0.4595,8.6,38.6,71.5,0.1183,0.2642,1,train
Road,East_Asia,North_America,1302.7,30.7,25.5,0.8306,Urgent,0.7265,17.1,44.0,88.0,0.6667,0.9473,1,train
Road,Latin_America,Latin_America,1081.7,20.7,7.1,0.343,Urgent,0.8073,41.3,33.9,21.5,0.0931,0.3626,1,train
Road,East_Asia,East_Asia,1463.2,28.7,10.7,0.3728,Standard,0.8161,9.7,44.7,20.7,0.0923,0.7031,1,train
Rail,South_Asia,South_Asia,2817.8,78.3,33.4,0.4266,Urgent,0.7401,34.5,45.6,12.6,0.0648,0.9003,1,train
Rail,North_America,North_America,3666.3,112.5,93.8,0.8338,High,0.8877,64.4,100.0,50.1,0.1181,0.831,1,train
Rail,East_Asia,East_Asia,2347.8,91.3,56.4,0.6177,High,0.9477,31.3,31.3,23.4,0.162,0.6144,1,train
Ocean,Southeast_Asia,Oceania,5871.9,272.2,79.0,0.2902,Standard,0.8056,28.2,26.5,3.0,0.5526,0.2263,1,train
Air,South_Asia,Oceania,3890.4,18.2,12.2,0.6703,Standard,0.93,20.8,54.6,30.8,0.05,0.623,1,train
Air,North_America,East_Asia,5217.1,32.1,26.0,0.81,High,0.9253,44.4,24.8,58.4,0.1834,0.7958,1,train
Road,Europe,Europe,788.4,23.9,11.5,0.4812,Standard,0.7495,82.5,32.2,20.1,0.1972,0.9719,1,train
Ocean,South_Asia,North_America,12568.7,465.8,410.7,0.8817,High,0.9038,48.6,18.5,21.2,0.317,0.3901,1,train
Ocean,Europe,Europe,12298.4,462.7,50.3,0.1087,Standard,0.9712,20.8,45.3,46.6,0.2011,0.268,1,train
Ocean,Southeast_Asia,Middle_East,10531.7,409.6,390.7,0.9539,Standard,0.8119,38.0,33.1,18.5,0.6462,0.8715,1,train
Road,Latin_America,Latin_America,1300.7,32.0,14.9,0.4656,Standard,0.7465,52.8,31.6,12.0,0.1165,0.2992,1,train
Road,East_Asia,East_Asia,1672.3,34.8,7.6,0.2184,Standard,0.8114,53.5,36.9,17.5,0.1459,0.487,1,train
Rail,South_Asia,South_Asia,2919.9,106.1,8.4,0.0792,Standard,0.7664,33.0,22.0,3.0,0.1516,0.816,1,train
Air,South_Asia,Middle_East,4659.5,27.7,2.0,0.0722,Standard,0.99,13.9,9.4,27.6,0.4937,0.9778,1,train
Road,North_America,Europe,1318.7,30.9,24.6,0.7961,Standard,0.8315,82.0,16.3,17.0,0.4039,0.7428,1,train
Ocean,South_Asia,North_America,7662.9,282.1,27.9,0.0989,High,0.9886,36.6,16.7,8.6,0.05,0.8948,1,train
Ocean,Southeast_Asia,Latin_America,5310.1,235.0,215.3,0.9162,Standard,0.9061,19.9,52.1,45.6,0.3666,0.1486,1,train
Road,Latin_America,North_America,1374.3,31.3,23.7,0.7572,Standard,0.99,20.2,46.7,19.2,0.1162,0.966,1,train
Ocean,Southeast_Asia,North_America,15908.9,540.8,385.5,0.7128,Standard,0.8213,41.8,16.9,36.2,0.3063,0.0818,1,train
Rail,Europe,Europe,4783.7,113.1,29.1,0.2573,High,0.6976,53.8,38.3,38.3,0.16,0.5719,1,train
Ocean,South_Asia,Europe,14466.7,512.2,406.5,0.7936,Standard,0.8285,31.1,19.1,17.3,0.2336,0.7384,1,train
Ocean,Southeast_Asia,Latin_America,10950.1,389.7,55.8,0.1432,Standard,0.6296,22.6,42.5,32.4,0.4676,0.7183,1,train
Ocean,Southeast_Asia,Oceania,14561.6,547.6,256.7,0.4688,High,0.7444,33.8,43.5,3.5,0.2515,0.1149,1,train
Road,Europe,Europe,1228.1,24.4,13.7,0.5615,Standard,0.8992,30.5,34.1,17.5,0.1347,0.2671,0,train
Air,North_America,East_Asia,8007.3,37.9,21.6,0.5699,High,0.6337,30.4,41.5,4.9,0.2541,0.8752,1,train
Air,Southeast_Asia,Latin_America,4418.2,20.1,14.9,0.7413,Standard,0.99,22.0,21.1,13.8,0.3375,0.285,1,train
Ocean,Southeast_Asia,Latin_America,12019.9,442.1,134.3,0.3038,Urgent,0.916,42.0,40.9,7.9,0.2533,0.0741,1,train
Air,South_Asia,Europe,8205.0,44.7,42.1,0.9418,Standard,0.837,20.2,12.0,9.4,0.5631,0.5012,1,train
Road,Latin_America,Latin_America,1550.9,28.3,9.8,0.3463,Standard,0.956,14.7,40.8,33.7,0.0438,0.3748,1,train
Road,Latin_America,Latin_America,1022.1,20.9,12.0,0.5742,High,0.9666,58.1,49.4,24.3,0.1048,0.4843,1,train
Rail,North_America,North_America,4054.0,94.3,50.4,0.5345,High,0.7446,37.5,43.2,25.0,0.1397,0.7686,1,train
Ocean,South_Asia,Latin_America,7101.5,263.2,200.9,0.7633,High,0.8797,57.9,50.3,21.5,0.084,0.2573,1,train
Ocean,Southeast_Asia,Middle_East,16117.0,575.1,187.7,0.3264,Standard,0.99,12.9,39.7,9.9,0.2523,0.9295,1,train
Rail,North_America,North_America,1907.9,66.9,18.9,0.2825,Standard,0.882,32.4,52.5,18.8,0.1231,0.4536,1,train
Ocean,East_Asia,Europe,8805.8,325.0,33.5,0.1031,Standard,0.7938,48.3,72.3,19.1,0.2748,0.7828,1,train
Rail,North_America,North_America,1499.0,66.9,36.5,0.5456,Standard,0.5148,40.1,50.4,20.7,0.1519,0.3085,1,train
Air,Latin_America,East_Asia,9776.5,37.1,31.3,0.8437,Standard,0.9059,18.6,49.9,10.1,0.4258,0.626,1,train
